,Teams,btts,Over/Under,3-way
0,"Bolivar
Real Potosi","4.30
1.15","1.5
1.45
2.55","1.06
8.50
100.00"
1,"Club Olimpia
Club River Plate Asuncion",,"3.5
1.70
2.00","1.10
8.00
30.00"
2,"Boca Juniors
Talleres de Cordoba","1.40
2.60","2.5
2.25
1.55","3.80
3.10
1.95"
3,"Deportivo Mixco (F)
Deportivo Amatitlan (F)","1.55
2.20","2.5
1.75
1.95","9.00
4.00
1.35"
4,"Club Nacional de Football
Liverpool FC","1.40
2.60","3.5
1.60
2.10","20.00
8.00
1.12"
5,"CA Mitre
Almirante Brown","1.35
2.80","2.5
1.80
1.90","5.50
3.30
1.65"
6,"Millonarios FC
Atletico Nacional","1.80
1.85","2.5
2.05
1.65","2.00
3.20
3.40"
